0,1,macarty,campomojao
0,1,Xtrem3,campomojao
0,1,C0BRA,campomojao
3,2,Xtrem3,C0BRA
3,2,crraik,C0BRA
1,2,aavvaallooss,macarty
0,1,Barbarian,campomojao
0,1,Grohl,campomojao
0,1,conversador,campomojao
0,1,--473832--,campomojao
0,1,--179053--,campomojao
0,1,--475664--,campomojao
0,1,astur365,campomojao
12,2,PeterDry,--475664--
11,2,OviOne,--179053--
0,1,polvos.magicos,campomojao
0,1,Frytz,campomojao
3,2,facheame,C0BRA
0,1,pitercio,campomojao
1,2,Aergon,macarty
14,3,--475664--,PeterDry
21,4,PeterDry,--475664--
22,5,--475664--,PeterDry
23,6,PeterDry,--475664--
24,7,--475664--,PeterDry
14,3,--473832--,PeterDry
6,3,macarty,aavvaallooss
