0,1,jm22381,jm22381
0,1,ℜorschach_,jm22381
0,1,rojovelasco,jm22381
0,1,repetor666,jm22381
4,2,delawen,repetor666
5,3,repetor666,delawen
6,4,delawen,repetor666
7,5,repetor666,delawen
8,6,delawen,repetor666
9,7,repetor666,delawen
10,8,delawen,repetor666
11,9,repetor666,delawen
12,10,Raziel_2,repetor666
0,1,LuisPerez,jm22381
13,11,repetor666,Raziel_2
0,1,anv,jm22381
15,12,Raziel_2,repetor666
17,13,repetor666,Raziel_2
10,8,anv,repetor666
16,2,fmri,anv
20,3,anv,fmri
0,1,repetor666,jm22381
0,1,hartodehijoputas,jm22381
0,1,--463783--,jm22381
24,2,jm22381,--463783--
